id,item_id,date,quantity,cost (CLP),delivery_date
25172,1855,3/2/2020,7,22911,3/9/2020
25173,1830,3/2/2020,2,10006,3/7/2020
25174,1832,3/2/2020,12,422520,3/9/2020
25175,1845,3/2/2020,10,161850,3/9/2020
25176,1805,3/2/2020,3,9279,3/11/2020
25177,1826,3/2/2020,5,16695,3/13/2020
25178,1801,3/2/2020,33,67980,3/11/2020
25179,1851,3/2/2020,56,2666608,3/7/2020
25180,1785,3/2/2020,56,943880,3/8/2020
25181,1828,3/2/2020,11,219186,3/7/2020
25182,1790,3/2/2020,90,3693330,3/15/2020
25183,1789,3/2/2020,32,746496,3/7/2020
25184,1793,3/2/2020,15,23280,3/5/2020
25185,1853,3/2/2020,76,3201576,3/10/2020
25186,1819,3/2/2020,13,110786,3/9/2020
25187,1849,3/2/2020,49,2019045,3/10/2020
25188,1867,3/2/2020,6,74982,3/15/2020
25189,1869,3/2/2020,6,6810,3/9/2020
25190,1841,3/2/2020,11,245168,3/8/2020
25191,1818,3/2/2020,25,682725,3/8/2020
25192,1827,3/2/2020,9,121032,3/6/2020
25193,1861,3/2/2020,3,39672,3/9/2020
25194,1800,3/2/2020,43,1037375,3/6/2020
25195,1787,3/2/2020,11,184668,3/9/2020
25196,1797,3/2/2020,27,107838,3/6/2020
25197,1866,3/2/2020,2,26362,3/8/2020
25198,1821,3/2/2020,4,9524,3/9/2020
25199,1806,3/2/2020,1,12097,3/12/2020
25200,1791,3/9/2020,12,44664,3/14/2020
25201,1798,3/9/2020,10,184000,3/18/2020
25202,1812,3/9/2020,17,258145,3/12/2020
25203,1809,3/9/2020,2,41462,3/19/2020
25204,1820,3/9/2020,18,229140,3/18/2020
25205,1823,3/9/2020,9,146079,3/17/2020
25206,1856,3/9/2020,1,7389,3/19/2020
25207,1831,3/9/2020,24,409176,3/13/2020
25208,1803,3/9/2020,7,38724,3/18/2020
25209,1811,3/9/2020,1,5602,3/13/2020
25210,1799,3/9/2020,32,991392,3/14/2020
25211,1815,3/9/2020,9,156267,3/17/2020
25212,1850,3/9/2020,13,442910,3/22/2020
25213,1829,3/9/2020,13,81718,3/19/2020
25214,1855,3/9/2020,4,13092,3/16/2020
25215,1830,3/9/2020,10,50030,3/16/2020
25216,1832,3/9/2020,12,422520,3/15/2020
25217,1845,3/9/2020,5,80925,3/20/2020
25218,1851,3/9/2020,6,285708,3/17/2020
25219,1842,3/9/2020,7,86674,3/16/2020
25220,1843,3/9/2020,7,87717,3/20/2020
25221,1785,3/9/2020,28,471940,3/14/2020
25222,1828,3/9/2020,42,836892,3/19/2020
25223,1789,3/9/2020,18,419904,3/12/2020
25224,1793,3/9/2020,5,7760,3/17/2020
25225,1819,3/9/2020,8,68176,3/17/2020
25226,1825,3/9/2020,1,5222,3/14/2020
25227,1817,3/9/2020,26,490230,3/15/2020
25228,1854,3/9/2020,26,77610,3/13/2020
25229,1818,3/9/2020,31,846579,3/17/2020
25230,1827,3/9/2020,13,174824,3/15/2020
25231,1813,3/9/2020,30,82530,3/16/2020
25232,1852,3/9/2020,13,697944,3/14/2020
25233,1800,3/9/2020,15,361875,3/17/2020
25234,1787,3/9/2020,16,268608,3/18/2020
25235,1822,3/9/2020,4,18444,3/17/2020
25236,1797,3/9/2020,6,23964,3/13/2020
25237,1840,3/9/2020,5,100690,3/16/2020
25238,1821,3/9/2020,13,30953,3/21/2020
25239,1791,3/16/2020,13,48386,3/21/2020
25240,1812,3/16/2020,9,136665,3/22/2020
25241,1810,3/16/2020,3,20115,3/29/2020
25242,1804,3/16/2020,1,9632,3/22/2020
25243,1788,3/16/2020,30,1007970,3/25/2020
25244,1796,3/16/2020,3,23784,3/25/2020
25245,1792,3/16/2020,22,147818,3/19/2020
25246,1795,3/16/2020,10,37120,3/27/2020
25247,1831,3/16/2020,16,272784,3/22/2020
25248,1794,3/16/2020,12,43572,3/22/2020
25249,1811,3/16/2020,7,39214,3/27/2020
25250,1848,3/16/2020,11,57849,3/27/2020
25251,1799,3/16/2020,9,278829,3/20/2020
25252,1816,3/16/2020,12,219552,3/30/2020
25253,1847,3/16/2020,12,75864,3/20/2020
25254,1855,3/16/2020,1,3273,3/26/2020
25255,1830,3/16/2020,14,70042,3/29/2020
25256,1832,3/16/2020,13,457730,3/22/2020
25257,1805,3/16/2020,12,37116,3/19/2020
25258,1801,3/16/2020,11,22660,3/27/2020
25259,1842,3/16/2020,1,12382,3/23/2020
25260,1785,3/16/2020,2,33710,3/29/2020
25261,1790,3/16/2020,32,1313184,3/24/2020
25262,1789,3/16/2020,7,163296,3/20/2020
25263,1853,3/16/2020,64,2696064,3/23/2020
25264,1849,3/16/2020,27,1112535,3/24/2020
25265,1786,3/16/2020,49,651994,3/28/2020
25266,1825,3/16/2020,10,52220,3/22/2020
25267,1817,3/16/2020,27,509085,3/24/2020
25268,1854,3/16/2020,14,41790,3/23/2020
25269,1841,3/16/2020,3,66864,3/23/2020
25270,1837,3/16/2020,23,919494,3/22/2020
25271,1827,3/16/2020,12,161376,3/23/2020
25272,1813,3/16/2020,4,11004,3/31/2020
25273,1852,3/16/2020,3,161064,3/26/2020
25274,1840,3/16/2020,6,120828,3/20/2020
25275,1806,3/16/2020,9,108873,3/19/2020
25276,1791,3/23/2020,5,18610,4/2/2020
25277,1798,3/23/2020,23,423200,3/31/2020
25278,1812,3/23/2020,4,60740,3/27/2020
25279,1804,3/23/2020,7,67424,4/4/2020
25280,1809,3/23/2020,12,248772,4/5/2020
25281,1792,3/23/2020,2,13438,3/30/2020
25282,1856,3/23/2020,2,14778,3/30/2020
25283,1846,3/23/2020,2,27408,3/29/2020
25284,1824,3/23/2020,11,65648,3/29/2020
25285,1831,3/23/2020,12,204588,3/27/2020
25286,1803,3/23/2020,13,71916,4/4/2020
25287,1794,3/23/2020,15,54465,3/29/2020
25288,1799,3/23/2020,26,805506,3/29/2020
25289,1815,3/23/2020,5,86815,3/31/2020
25290,1850,3/23/2020,24,817680,3/31/2020
25291,1829,3/23/2020,14,88004,3/30/2020
25292,1847,3/23/2020,12,75864,3/30/2020
25293,1845,3/23/2020,9,145665,4/3/2020
25294,1826,3/23/2020,5,16695,4/2/2020
25295,1851,3/23/2020,36,1714248,4/1/2020
25296,1842,3/23/2020,2,24764,3/28/2020
25297,1843,3/23/2020,1,12531,4/1/2020
25298,1828,3/23/2020,40,797040,3/30/2020
25299,1789,3/23/2020,26,606528,3/30/2020
25300,1793,3/23/2020,27,41904,4/6/2020
25301,1853,3/23/2020,60,2527560,3/29/2020
25302,1819,3/23/2020,16,136352,4/4/2020
25303,1854,3/23/2020,20,59700,3/29/2020
25304,1841,3/23/2020,10,222880,4/4/2020
25305,1818,3/23/2020,36,983124,4/5/2020
25306,1827,3/23/2020,13,174824,4/2/2020
25307,1800,3/23/2020,26,627250,3/28/2020
25308,1822,3/23/2020,11,50721,4/4/2020
25309,1797,3/23/2020,8,31952,3/30/2020
25310,1840,3/23/2020,7,140966,4/2/2020
25311,1821,3/23/2020,8,19048,3/31/2020
25312,1806,3/23/2020,2,24194,4/1/2020
25313,1812,3/30/2020,18,273330,4/13/2020
25314,1788,3/30/2020,29,974371,4/3/2020
25315,1796,3/30/2020,4,31712,4/4/2020
25316,1820,3/30/2020,10,127300,4/11/2020
25317,1823,3/30/2020,9,146079,4/5/2020
25318,1792,3/30/2020,20,134380,4/10/2020
25319,1856,3/30/2020,2,14778,4/5/2020
25320,1846,3/30/2020,12,164448,4/12/2020
25321,1795,3/30/2020,8,29696,4/6/2020
25322,1831,3/30/2020,9,153441,4/5/2020
25323,1794,3/30/2020,5,18155,4/7/2020
25324,1811,3/30/2020,12,67224,4/11/2020
25325,1848,3/30/2020,10,52590,4/3/2020
25326,1799,3/30/2020,10,309810,4/4/2020
25327,1844,3/30/2020,11,174999,4/6/2020
25328,1829,3/30/2020,12,75432,4/7/2020
25329,1847,3/30/2020,7,44254,4/11/2020
25330,1855,3/30/2020,1,3273,4/6/2020
25331,1836,3/30/2020,10,190890,4/5/2020
25332,1830,3/30/2020,10,50030,4/7/2020
25333,1832,3/30/2020,2,70420,4/7/2020
25334,1805,3/30/2020,7,21651,4/9/2020
25335,1801,3/30/2020,11,22660,4/6/2020
25336,1833,3/30/2020,2,185734,4/9/2020
25337,1842,3/30/2020,6,74292,4/10/2020
25338,1785,3/30/2020,23,387665,4/11/2020
25339,1828,3/30/2020,22,438372,4/4/2020
25340,1790,3/30/2020,40,1641480,4/4/2020
25341,1789,3/30/2020,25,583200,4/7/2020
25342,1853,3/30/2020,13,547638,4/7/2020
25343,1849,3/30/2020,37,1524585,4/8/2020
25344,1786,3/30/2020,15,199590,4/2/2020
25345,1825,3/30/2020,5,26110,4/14/2020
25346,1817,3/30/2020,22,414810,4/2/2020
25347,1854,3/30/2020,15,44775,4/4/2020
25348,1852,3/30/2020,2,107376,4/13/2020
25349,1800,3/30/2020,13,313625,4/5/2020
25350,1797,3/30/2020,5,19970,4/9/2020
25351,1791,4/6/2020,18,66996,4/12/2020
25352,1860,4/6/2020,19,232066,4/9/2020
25353,1798,4/6/2020,19,349600,4/12/2020
25354,1810,4/6/2020,5,33525,4/10/2020
25355,1804,4/6/2020,5,48160,4/11/2020
25356,1809,4/6/2020,15,310965,4/13/2020
25357,1788,4/6/2020,28,940772,4/9/2020
25358,1796,4/6/2020,22,174416,4/20/2020
25359,1856,4/6/2020,4,29556,4/15/2020
25360,1863,4/6/2020,17,59806,4/16/2020
25361,1824,4/6/2020,2,11936,4/14/2020
25362,1795,4/6/2020,36,133632,4/19/2020
25363,1831,4/6/2020,9,153441,4/16/2020
25364,1803,4/6/2020,3,16596,4/10/2020
25365,1848,4/6/2020,17,89403,4/17/2020
25366,1799,4/6/2020,37,1146297,4/12/2020
25367,1815,4/6/2020,5,86815,4/14/2020
25368,1850,4/6/2020,55,1873850,4/20/2020
25369,1816,4/6/2020,3,54888,4/12/2020
25370,1855,4/6/2020,7,22911,4/21/2020
25371,1845,4/6/2020,8,129480,4/10/2020
25372,1826,4/6/2020,6,20034,4/18/2020
25373,1801,4/6/2020,40,82400,4/11/2020
25374,1839,4/6/2020,8,568216,4/13/2020
25375,1851,4/6/2020,47,2238046,4/13/2020
25376,1843,4/6/2020,9,112779,4/11/2020
25377,1828,4/6/2020,34,677484,4/14/2020
25378,1790,4/6/2020,58,2380146,4/11/2020
25379,1793,4/6/2020,21,32592,4/16/2020
25380,1819,4/6/2020,12,102264,4/12/2020
25381,1867,4/6/2020,25,312425,4/10/2020
25382,1786,4/6/2020,21,279426,4/20/2020
25383,1869,4/6/2020,11,12485,4/16/2020
25384,1817,4/6/2020,9,169695,4/19/2020
25385,1854,4/6/2020,10,29850,4/14/2020
25386,1841,4/6/2020,2,44576,4/15/2020
25387,1818,4/6/2020,51,1392759,4/13/2020
25388,1827,4/6/2020,31,416888,4/11/2020
25389,1813,4/6/2020,37,101787,4/11/2020
25390,1861,4/6/2020,23,304152,4/12/2020
25391,1800,4/6/2020,43,1037375,4/17/2020
25392,1787,4/6/2020,3,50364,4/9/2020
25393,1822,4/6/2020,7,32277,4/13/2020
25394,1866,4/6/2020,2,26362,4/14/2020
25395,1840,4/6/2020,5,100690,4/21/2020
25396,1821,4/6/2020,10,23810,4/12/2020
25397,1791,4/13/2020,4,14888,4/20/2020
25398,1798,4/13/2020,4,73600,4/23/2020
25399,1812,4/13/2020,21,318885,4/25/2020
25400,1810,4/13/2020,1,6705,4/19/2020
25401,1809,4/13/2020,3,62193,4/24/2020
25402,1820,4/13/2020,13,165490,4/27/2020
25403,1792,4/13/2020,19,127661,4/23/2020
25404,1846,4/13/2020,22,301488,4/22/2020
25405,1803,4/13/2020,1,5532,4/22/2020
25406,1794,4/13/2020,31,112561,4/21/2020
25407,1811,4/13/2020,6,33612,4/23/2020
25408,1799,4/13/2020,12,371772,4/16/2020
25409,1816,4/13/2020,10,182960,4/26/2020
25410,1829,4/13/2020,20,125720,4/27/2020
25411,1847,4/13/2020,20,126440,4/17/2020
25412,1830,4/13/2020,16,80048,4/21/2020
25413,1832,4/13/2020,16,563360,4/17/2020
25414,1845,4/13/2020,7,113295,4/19/2020
25415,1805,4/13/2020,12,37116,4/19/2020
25416,1801,4/13/2020,10,20600,4/23/2020
25417,1833,4/13/2020,1,92867,4/18/2020
25418,1851,4/13/2020,12,571416,4/20/2020
25419,1842,4/13/2020,15,185730,4/19/2020
25420,1843,4/13/2020,9,112779,4/23/2020
25421,1785,4/13/2020,40,674200,4/17/2020
25422,1790,4/13/2020,12,492444,4/22/2020
25423,1789,4/13/2020,23,536544,4/17/2020
25424,1853,4/13/2020,116,4886616,4/24/2020
25425,1819,4/13/2020,9,76698,4/27/2020
25426,1849,4/13/2020,36,1483380,4/16/2020
25427,1818,4/13/2020,13,355017,4/25/2020
25428,1827,4/13/2020,6,80688,4/22/2020
25429,1813,4/13/2020,6,16506,4/18/2020
25430,1852,4/13/2020,10,536880,4/25/2020
25431,1822,4/13/2020,1,4611,4/27/2020
25432,1797,4/13/2020,29,115826,4/22/2020
25433,1821,4/13/2020,14,33334,4/27/2020
25434,1806,4/13/2020,12,145164,4/27/2020
25435,1791,4/20/2020,3,11166,4/25/2020
25436,1810,4/20/2020,2,13410,4/26/2020
25437,1804,4/20/2020,1,9632,5/5/2020
25438,1788,4/20/2020,42,1411158,4/28/2020
25439,1796,4/20/2020,6,47568,4/27/2020
25440,1856,4/20/2020,9,66501,4/26/2020
25441,1795,4/20/2020,14,51968,5/1/2020
25442,1831,4/20/2020,16,272784,4/29/2020
25443,1848,4/20/2020,7,36813,4/25/2020
25444,1799,4/20/2020,17,526677,4/25/2020
25445,1850,4/20/2020,18,613260,4/24/2020
25446,1844,4/20/2020,1,15909,5/2/2020
25447,1847,4/20/2020,18,113796,4/26/2020
25448,1832,4/20/2020,16,563360,4/24/2020
25449,1845,4/20/2020,9,145665,4/26/2020
25450,1826,4/20/2020,4,13356,5/4/2020
25451,1851,4/20/2020,17,809506,4/27/2020
25452,1842,4/20/2020,10,123820,4/24/2020
25453,1785,4/20/2020,9,151695,4/26/2020
25454,1828,4/20/2020,36,717336,4/27/2020
25455,1789,4/20/2020,15,349920,5/2/2020
25456,1793,4/20/2020,21,32592,5/5/2020
25457,1849,4/20/2020,16,659280,4/29/2020
25458,1786,4/20/2020,17,226202,4/26/2020
25459,1825,4/20/2020,16,83552,4/26/2020
25460,1817,4/20/2020,24,452520,4/27/2020
25461,1854,4/20/2020,14,41790,4/28/2020
25462,1841,4/20/2020,10,222880,4/23/2020
25463,1813,4/20/2020,10,27510,4/26/2020
25464,1800,4/20/2020,26,627250,4/30/2020
25465,1787,4/20/2020,10,167880,5/1/2020
25466,1791,4/27/2020,3,11166,5/5/2020
25467,1798,4/27/2020,14,257600,5/8/2020
25468,1812,4/27/2020,18,273330,5/5/2020
25469,1810,4/27/2020,1,6705,5/2/2020
25470,1802,4/27/2020,2,7062,4/30/2020
25471,1809,4/27/2020,20,414620,5/5/2020
25472,1796,4/27/2020,8,63424,5/1/2020
25473,1820,4/27/2020,18,229140,5/12/2020
25474,1792,4/27/2020,12,80628,5/3/2020
25475,1846,4/27/2020,14,191856,5/4/2020
25476,1803,4/27/2020,2,11064,5/6/2020
25477,1794,4/27/2020,9,32679,5/2/2020
25478,1811,4/27/2020,17,95234,5/4/2020
25479,1848,4/27/2020,21,110439,5/10/2020
25480,1799,4/27/2020,8,247848,5/13/2020
25481,1850,4/27/2020,12,408840,4/30/2020
25482,1816,4/27/2020,7,128072,5/9/2020
25483,1829,4/27/2020,18,113148,5/7/2020
25484,1847,4/27/2020,3,18966,5/4/2020
25485,1855,4/27/2020,4,13092,5/4/2020
25486,1830,4/27/2020,15,75045,5/3/2020
25487,1832,4/27/2020,8,281680,5/4/2020
25488,1845,4/27/2020,4,64740,5/4/2020
25489,1801,4/27/2020,15,30900,5/1/2020
25490,1851,4/27/2020,12,571416,5/3/2020
25491,1843,4/27/2020,1,12531,5/4/2020
25492,1785,4/27/2020,5,84275,5/5/2020
25493,1828,4/27/2020,24,478224,5/10/2020
25494,1790,4/27/2020,31,1272147,5/2/2020
25495,1853,4/27/2020,43,1811418,5/8/2020
25496,1786,4/27/2020,14,186284,5/9/2020
25497,1817,4/27/2020,22,414810,5/1/2020
25498,1818,4/27/2020,26,710034,5/10/2020
25499,1827,4/27/2020,12,161376,5/2/2020
25500,1813,4/27/2020,8,22008,5/1/2020
25501,1852,4/27/2020,4,214752,5/2/2020
25502,1822,4/27/2020,13,59943,5/9/2020
25503,1797,4/27/2020,10,39940,5/2/2020
25504,1840,4/27/2020,14,281932,5/2/2020
25505,1821,4/27/2020,8,19048,5/3/2020
25506,1860,5/4/2020,25,305350,5/10/2020
25507,1810,5/4/2020,1,6705,5/14/2020
25508,1802,5/4/2020,2,7062,5/14/2020
25509,1788,5/4/2020,51,1713549,5/16/2020
25510,1796,5/4/2020,28,221984,5/8/2020
25511,1823,5/4/2020,2,32462,5/13/2020
25512,1792,5/4/2020,21,141099,5/11/2020
25513,1856,5/4/2020,3,22167,5/13/2020
25514,1863,5/4/2020,15,52770,5/9/2020
25515,1846,5/4/2020,5,68520,5/10/2020
25516,1795,5/4/2020,38,141056,5/7/2020
25517,1831,5/4/2020,17,289833,5/10/2020
25518,1794,5/4/2020,28,101668,5/13/2020
25519,1811,5/4/2020,1,5602,5/16/2020
25520,1815,5/4/2020,4,69452,5/20/2020
25521,1850,5/4/2020,29,988030,5/13/2020
25522,1844,5/4/2020,3,47727,5/13/2020
25523,1847,5/4/2020,13,82186,5/9/2020
25524,1855,5/4/2020,2,6546,5/18/2020
25525,1830,5/4/2020,9,45027,5/18/2020
25526,1832,5/4/2020,18,633780,5/7/2020
25527,1845,5/4/2020,10,161850,5/10/2020
25528,1805,5/4/2020,3,9279,5/7/2020
25529,1826,5/4/2020,6,20034,5/17/2020
25530,1801,5/4/2020,29,59740,5/11/2020
25531,1839,5/4/2020,1,71027,5/10/2020
25532,1851,5/4/2020,33,1571394,5/13/2020
25533,1843,5/4/2020,6,75186,5/9/2020
25534,1790,5/4/2020,62,2544294,5/12/2020
25535,1789,5/4/2020,22,513216,5/11/2020
25536,1819,5/4/2020,10,85220,5/19/2020
25537,1849,5/4/2020,38,1565790,5/12/2020
25538,1867,5/4/2020,28,349916,5/12/2020
25539,1869,5/4/2020,15,17025,5/13/2020
25540,1838,5/4/2020,8,213160,5/11/2020
25541,1817,5/4/2020,8,150840,5/12/2020
25542,1854,5/4/2020,32,95520,5/9/2020
25543,1841,5/4/2020,2,44576,5/10/2020
25544,1827,5/4/2020,8,107584,5/10/2020
25545,1813,5/4/2020,15,41265,5/17/2020
25546,1861,5/4/2020,21,277704,5/11/2020
25547,1852,5/4/2020,13,697944,5/11/2020
25548,1800,5/4/2020,43,1037375,5/12/2020
25549,1787,5/4/2020,9,151092,5/10/2020
25550,1797,5/4/2020,32,127808,5/13/2020
25551,1866,5/4/2020,2,26362,5/16/2020
25552,1840,5/4/2020,3,60414,5/9/2020
25553,1821,5/4/2020,1,2381,5/15/2020
25554,1791,5/11/2020,17,63274,5/16/2020
25555,1798,5/11/2020,21,386400,5/18/2020
25556,1812,5/11/2020,15,227775,5/17/2020
