item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase
298,afp fetch dog n treat,juguetes,accesorios,34930.0,25804.0,74.0,0.0,0.001,800.0
879,dog arnés negro,paseo,accesorios,21990.0,14294.0,46.0,19.0,0.001,500.0
1572,parka t/0 cata pets,ropa,accesorios,15890.0,11578.0,39.0,0.0,0.004,500.0
1206,dogit cuerda anudada sabor menta 26 cm,juguetes,accesorios,6790.0,4456.0,17.0,1.0,0.004,500.0
887,puzzle soft-walk harness medium,paseo,accesorios,18899.6,13644.0,39.0,0.0,0.001,600.0
1273,zeedog mahalo h-harness small,paseo,accesorios,13850.0,10343.0,29.0,1.0,0.001,500.0
1170,zd skull 2.0 harness + leash set,paseo,accesorios,11900.0,7965.0,25.0,2.0,0.001,500.0
297,dogit alfombrilla educadora  medium 30un,higiene,accesorios,13490.0,10330.0,33.0,2.0,0.004,1250.0
1713,bravecto 1.000 mg perro 20 a 40 kg,ant. ext.,medicamentos,49650.0,33507.0,92.0,0.0,0.0002,800.0
1085,pro plan sensitive cat 3kg ar,adultos,alimento,36370.0,23966.0,109.0,3.0,0.015,2950.0
544,coastal maslow plato cobre martillado 2188 ml,paseo,accesorios,15990.0,11328.0,34.0,1.0,0.001,550.0
1620,collar isabelino 15 cm nº(3),higiene,medicamentos,6450.0,5043.0,12.0,19.0,0.0002,500.0
65,ps dental solutions starter kit,higiene,accesorios,10990.0,8034.0,27.0,3.0,0.004,1100.0
1204,coastal sublime collar cubes s/m,paseo,accesorios,12490.0,9282.0,30.0,3.0,0.004,1350.0
462,pawise bola para golosinas gato,juguetes,accesorios,3990.0,2690.0,9.0,1.0,0.001,500.0
1319,zd cali dos air-leash,paseo,accesorios,37900.0,29637.0,79.0,1.0,0.001,1200.0
1714,zeedog phantom h-harness medium,paseo,accesorios,16840.0,12620.0,35.0,0.0,0.001,500.0
239,honey collar small,paseo,accesorios,9899.61,7663.0,21.0,2.0,0.001,500.0
188,zd candy adj. air mesh harness large,paseo,accesorios,34030.0,26228.0,71.0,1.0,0.001,850.0
1333,zd army green leash small,paseo,accesorios,13900.0,10381.0,29.0,2.0,0.001,500.0
29,manitol 500ml,medicamentos,medicamentos,7440.0,4906.0,14.0,2.0,0.0002,500.0
1289,jaula refugio peq. animales grande,hogar-transporte,accesorios,77330.0,59684.0,188.0,1.0,0.004,2550.0
759,zd neon coral collar extra small,paseo,accesorios,7900.0,5702.0,17.0,0.0,0.001,500.0
1160,viruta pino  800 gr,higiene,accesorios,1490.0,1004.0,3.0,5.0,0.004,500.0
1545,pink led h-harness medium,paseo,accesorios,16900.0,12391.0,36.0,1.0,0.001,500.0
398,coastal maslow  plato pup azul 384 ml,paseo,accesorios,6990.0,4729.0,17.0,1.0,0.004,500.0
836,big bone aluminum purple (my family),placas identificacion,accesorios,7130.0,5120.0,15.0,1.0,0.001,500.0
109,zd smash leash large,paseo,accesorios,16900.0,12456.0,36.0,2.0,0.001,600.0
637,pro plan perro reduce calor. optilife 15 kilo,adultos,alimento,48900.0,32863.0,147.0,0.0,0.015,1900.0
1259,coastal sublime collar pink s/m,paseo,accesorios,12490.0,9538.0,30.0,2.0,0.004,1350.0
1161,zeedog phantom h-harness small,paseo,accesorios,13850.0,10108.0,29.0,0.0,0.001,500.0
932,zeedog ella leash small,paseo,accesorios,13900.0,10234.0,34.0,1.0,0.004,500.0
705,ursovet 60 ml,digestivo,medicamentos,9590.0,7620.0,18.0,3.0,0.0002,500.0
617,heno de pasto timothy 425gr,alimento exoticos,accesorios,9260.0,7238.0,19.0,1.0,0.001,500.0
799,jaula aves med. diseños y colores,hogar-transporte,accesorios,24000.0,17179.0,59.0,0.0,0.004,500.0
432,nutram total grain-free chicken & turkey dog food 2kg,adultos,alimento,27750.0,19202.0,83.0,1.0,0.015,1750.0
1110,coastal lazer brite collar skulls s/m,paseo,accesorios,8990.0,7034.0,19.0,2.0,0.001,500.0
1142,afp chill out pista hielo,juguetes,accesorios,24790.0,16329.0,52.0,1.0,0.001,500.0
619,harvest stacks timothy/carrot 1kg,alfalfas,accesorios,21700.0,14694.0,45.0,3.0,0.001,500.0
706,coastal style collar brown paw xs,paseo,accesorios,6990.0,5561.0,17.0,1.0,0.004,650.0
425,royal canin feline urinary care 1.5 kg,medicados,alimento,21570.0,15612.0,65.0,4.0,0.015,4500.0
1798,nath cat adulto esterilizado sabor pollo y arroz,adultos,alimento,27990.0,18400.0,69.0,,,500.0
591,zd midnight h-harness medium,paseo,accesorios,16900.0,11395.0,42.0,2.0,0.004,1050.0
495,alimento pelletizado nature para cobayo 700 gr,alimento exoticos,accesorios,9050.0,6359.0,19.0,0.0,0.001,500.0
1338,"zeus collar ajustable ""l"" grafito",paseo,accesorios,6390.0,4882.0,13.0,0.0,0.001,500.0
727,cracul x20 comp. perros,comportamiento,medicamentos,8700.0,6720.0,16.0,1.0,0.0002,500.0
196,bayticol collar 35cm,ant. ext.,medicamentos,15990.0,12354.0,30.0,2.0,0.0002,500.0
344,hartz jfc bizzy balls cat toy,juguetes,accesorios,3590.0,2417.0,9.0,0.0,0.004,500.0
135,zd smash collar medium,paseo,accesorios,10900.0,7856.0,22.0,0.0,0.001,500.0
218,zeedog phantom leash large,paseo,accesorios,16900.0,13062.0,42.0,0.0,0.004,1300.0
270,advocate 1 x 0.4 ml,ant. ext.,medicamentos,16460.0,12801.0,31.0,5.0,0.0002,500.0
433,naxpet 10 mg.x 10 comp.,analgesico,medicamentos,7800.0,5190.0,15.0,19.0,0.0002,500.0
1190,pawise bolsas repuesto 3x20 colores,higiene,accesorios,5970.0,4113.0,14.0,1.0,0.004,950.0
1751,zeus arnes fig. a  s  grafito,paseo,accesorios,7990.0,5683.0,17.0,1.0,0.001,500.0
1005,bravery chicken adult large/medium breeds 12 kg,adultos,alimento,54990.0,38403.0,165.0,0.0,0.015,650.0
1812,kong wobbler cat small,juguetes,accesorios,18990.0,15185.0,35.0,,,500.0
237,coastal lazer brite collar fish bones,paseo,accesorios,9490.0,6719.0,20.0,2.0,0.001,500.0
818,dispensador alimento maya / m (700 gr.),comederos,accesorios,8270.0,5758.0,21.0,1.0,0.004,750.0
943,bravery chicken kitten 2 kg,cachorros,alimento,17990.0,12936.0,55.0,6.0,0.015,3850.0
450,zeedog gotham leash large,paseo,accesorios,16840.0,11974.0,35.0,0.0,0.001,500.0
707,rimadyl 100 mg x 14 tabletas ,analgesico,medicamentos,23090.0,16225.0,43.0,0.0,0.0002,500.0
598,ratones de piel 24 por caja tipo,juguetes,accesorios,1190.0,922.0,3.0,6.0,0.001,500.0
1592,le salon essentials peine combinado smal,grooming,accesorios,25390.0,18395.0,62.0,1.0,0.004,900.0
1550,afp pups cuerda suave mini,juguetes,accesorios,6790.0,4887.0,17.0,0.0,0.004,500.0
1619,pawise hollow elefante,juguetes,accesorios,6990.0,5330.0,14.0,0.0,0.001,500.0
422,cream labrador  (my family),placas identificacion,accesorios,17560.0,13206.0,37.0,0.0,0.001,500.0
1237,pro plan puppy medium breed 1kg ar,cachorros,alimento,10880.0,8428.0,32.0,1.0,0.015,4550.0
1727,planet dog luna,juguetes,accesorios,16990.0,11980.0,36.0,0.0,0.001,500.0
254,coastal style collar teal purple diamonds m,paseo,accesorios,9290.0,7146.0,20.0,0.0,0.001,500.0
1310,zeedog skull h-harness extra small,paseo,accesorios,10200.0,7281.0,25.0,0.0,0.004,1050.0
1574,drontal plus x 2 comprimidos saborizados,ant. ext.,medicamentos,10590.0,7691.0,20.0,19.0,0.0002,500.0
307,zeedog fatboy ruff leash small,paseo,accesorios,21830.0,16088.0,46.0,0.0,0.001,500.0
70,shampoo flt,antialergico,medicamentos,12400.0,8560.0,23.0,0.0,0.0002,500.0
1580,dogit alfombrilla educadora  medium 50u,higiene,accesorios,20590.0,15248.0,43.0,3.0,0.001,500.0
324,dogit repuesto filtro carbon (91400),bebederos,accesorios,10510.0,8320.0,26.0,0.0,0.004,1400.0
1225,bravery light iberian pork mini adult small breeds 7 kg,weight control,alimento,43320.0,28170.0,131.0,0.0,0.015,4350.0
611,corner deterrent spring,enriquecimiento ambiental,accesorios,7690.0,5830.0,19.0,1.0,0.004,1250.0
570,arnes de pasaeo chico g.a,paseo,accesorios,7190.0,5123.0,15.0,3.0,0.001,500.0
1036,zd ella adjustable air mesh harness medium,paseo,accesorios,25890.0,19034.0,54.0,0.0,0.001,500.0
561,wanpy soft duck jerky stripos,snack,alimento,4990.0,3774.0,16.0,15.0,0.015,600.0
1322,zeus nosh hueso duro sabor tocino s,juguetes,accesorios,6490.0,4737.0,13.0,1.0,0.001,500.0
1347,bravery salmon adult large/medium breed 4 kg,adultos,alimento,24990.0,18101.0,75.0,0.0,0.015,2500.0
1168,eukanuba puppy small breed 6.8 kg,cachorros,alimento,52670.0,36414.0,159.0,2.0,0.015,500.0
631,afp modern cat flash,juguetes,accesorios,4690.0,3223.0,10.0,1.0,0.001,500.0
212,royal canin renal canine 1.5 kg,adultos,alimento,17780.0,12589.0,54.0,0.0,0.015,1150.0
23,coastal lazer brite collar galaxy xs,paseo,accesorios,6990.0,4645.0,14.0,2.0,0.001,500.0
289,coastal k9 explorer arnes acolchado guinda s,paseo,accesorios,25990.0,19678.0,54.0,0.0,0.001,500.0
63,dreamwell cama rectangular woof azul,hogar-transporte,accesorios,39990.0,30302.0,98.0,1.0,0.004,1650.0
869,"gumi juguete hilo dental seda ""mini""",juguetes,accesorios,8990.0,6828.0,22.0,0.0,0.004,900.0
534,belcando búfalo de agua 400 gr,humedo,alimento,5590.0,4294.0,18.0,0.0,0.015,650.0
1675,royal canin active 7+ 1.5kg,senior,alimento,16510.0,12352.0,50.0,3.0,0.015,500.0
1547,zd smash h-harness medium,paseo,accesorios,16900.0,13204.0,36.0,0.0,0.001,500.0
1441,senses desing circuito rapido luminoso,juguetes,accesorios,19190.0,14636.0,41.0,2.0,0.001,500.0
1089,zd midnight leash small,paseo,accesorios,13900.0,10825.0,34.0,0.0,0.004,750.0
1330,zeedog ella h-harness large,paseo,accesorios,19830.0,13336.0,42.0,1.0,0.001,500.0
916,eukanuba adulto medium 13.6 kg,adultos,alimento,67930.0,48313.0,205.0,2.0,0.015,3950.0
471,canine i/d x  lata x 370 gms,latas medicadas,alimento,9220.0,6289.0,27.0,11.0,0.015,2700.0
1178,revolution perro 20-40 kg,ant. ext.,medicamentos,28990.0,21310.0,54.0,0.0,0.0002,550.0
1810,catnip spray hierba gatera,comportamiento,medicamentos,8990.0,6705.0,19.0,,,500.0
1389,seresto collar p/p hasta 8 kilos,ant. ext.,medicamentos,47990.0,32528.0,89.0,0.0,0.0002,500.0
1362,nexgard x 3 tab. 25- 50k,ant. ext.,medicamentos,43990.0,29845.0,81.0,0.0,0.0002,500.0
535,royal canin urinary s/o canine 1.5 kg.,urinario,alimento,15480.0,11097.0,47.0,0.0,0.015,4550.0
1073,zeedog chroma leash extra small,paseo,accesorios,10900.0,7167.0,26.0,0.0,0.004,1050.0
654,fcn urinary care 7.5kg,medicados,alimento,71240.0,52741.0,214.0,1.0,0.015,1650.0
669,collar c/hueso grande a. doctor,paseo,accesorios,2690.0,1786.0,5.0,0.0,0.001,500.0
1575,zeedog cyclops,juguetes,accesorios,15060.0,10915.0,31.0,0.0,0.001,600.0
115,collar isabelino 25 cm nº(5),higiene,medicamentos,8500.0,5646.0,16.0,5.0,0.0002,500.0
817,rc mini adulto 8+ 1 kg,adultos,alimento,11830.0,8860.0,36.0,0.0,0.015,2250.0
917,biopower,suplemento,medicamentos,7090.0,4925.0,14.0,0.0,0.0002,500.0
1704,zeedog prisma h-harness large,paseo,accesorios,19830.0,15573.0,49.0,4.0,0.004,1150.0
576,zeedog zee.pad grey 30 unid.,higiene,accesorios,17840.0,12995.0,37.0,0.0,0.001,500.0
1356,dog a dent cepillo,higiene,medicamentos,6470.0,4690.0,12.0,1.0,0.0002,500.0
231,zd army green soft-walk harness small,paseo,accesorios,14500.0,9950.0,30.0,1.0,0.001,500.0
1118,zeedog skull collar medium,paseo,accesorios,10200.0,7973.0,21.0,1.0,0.001,500.0
1804,arnés adjustable cat ,paseo,accesorios,12990.0,9632.0,27.0,,,500.0
1432,body perro 0 verde,ropa,accesorios,17590.0,13093.0,43.0,0.0,0.004,500.0
1355,shampoo regepipel plus 150 ml,higiene,medicamentos,10410.0,7831.0,20.0,2.0,0.0002,500.0
173,coastal style collar resolve l,paseo,accesorios,10490.0,7281.0,22.0,0.0,0.001,500.0
1392,acana classic prairie poultry 2 kg,adultos,alimento,17540.0,11594.0,54.0,0.0,0.015,1150.0
251,milpro gatito x 2 comp 0.5 - 2 kg,antiparasitario,medicamentos,9990.0,7538.0,19.0,5.0,0.0002,500.0
914,planet dog snoop naranja,juguetes,accesorios,21990.0,14883.0,46.0,0.0,0.001,500.0
1552,afp modern cat tinkly,juguetes,accesorios,7790.0,5817.0,17.0,2.0,0.001,500.0
936,zeus collar semifijo  m  rojo,paseo,accesorios,5940.0,4120.0,14.0,0.0,0.004,700.0
990,heart i love my dog (my family),placas identificacion,accesorios,17560.0,13352.0,37.0,1.0,0.001,700.0
32,royal canin hairball care 1.5 kg,adultos,alimento,21570.0,16923.0,65.0,1.0,0.015,5050.0
1661,marina termocalefactor pre-set 100w -22c,enriquecimiento ambiental,accesorios,30990.0,23976.0,64.0,0.0,0.001,500.0
1004,royal canin maxi adulto pouch 140 gr,humedo,alimento,1940.0,1320.0,6.0,1.0,0.015,1950.0
124,zeedog phantom leash extra small,paseo,accesorios,10860.0,8254.0,22.0,0.0,0.001,500.0
680,big hair kitty,juguetes,accesorios,5030.0,4009.0,11.0,0.0,0.001,500.0
163,parka t/4 cata pets,ropa,accesorios,19890.0,13052.0,49.0,2.0,0.004,1150.0
1473,baño p/gato prima (cerrado),higiene,accesorios,21190.0,16357.0,44.0,0.0,0.001,500.0
628,zd honey ruff leash large,paseo,accesorios,23900.0,16247.0,50.0,1.0,0.001,750.0
414,habitrail classic kit,hogar-transporte,accesorios,41990.0,27840.0,88.0,1.0,0.001,650.0
49,brit care puppy l&r  12 kg,cachorros,alimento,64990.0,48214.0,196.0,4.0,0.015,3200.0
303,zd skull 2.0 leash large,paseo,accesorios,16900.0,11699.0,36.0,0.0,0.001,500.0
903,zd army green collar large,paseo,accesorios,12900.0,9203.0,31.0,0.0,0.004,500.0
1163,proplan active mind rzmedgrand 3kg,senior,alimento,18490.0,13307.0,55.0,1.0,0.015,2600.0
1653,sinpul 30 % x 15 grs.,ant. ext.,medicamentos,4360.0,3012.0,8.0,3.0,0.0002,500.0
1447,lw set arnes y correa peq animales  s ,paseo,accesorios,8990.0,7144.0,22.0,2.0,0.004,1200.0
342,labyes tears,ocular,medicamentos,17990.0,12548.0,34.0,0.0,0.0002,500.0
1418,zeedog tarot adjustable air mesh harness small,paseo,accesorios,19300.0,12646.0,47.0,2.0,0.004,1200.0
941,nutrafin limpiador biologico 120ml,higiene,accesorios,8990.0,6145.0,19.0,0.0,0.001,500.0
781,zd smash h-harness large,paseo,accesorios,19900.0,14651.0,42.0,0.0,0.001,500.0
1622,toallitas de limpieza vainilla,higiene,accesorios,2960.0,2182.0,6.0,3.0,0.001,500.0
670,zd army green leash + harness set,paseo,accesorios,11900.0,9223.0,25.0,1.0,0.001,500.0
382,stomorgyl 2 x 10 comp,antibiotico,medicamentos,13770.0,9401.0,26.0,1.0,0.0002,500.0
429,little jacs snack,snack,alimento,5990.0,4196.0,18.0,13.0,0.015,1750.0
754,dermisolona 30 ml suspensión,antialergico,medicamentos,14650.0,11521.0,27.0,9.0,0.0002,500.0
1835,palace dog house,hogar-transporte,accesorios,159990.0,115017.0,758.0,,,500.0
788,zeedog brain fried,paseo,accesorios,19830.0,15241.0,42.0,0.0,0.001,500.0
78,brit care cat grain-free kitten healthy g&d 2 kg,cachorros,alimento,19990.0,15253.0,60.0,14.0,0.015,2400.0
59,afp classic justin castor,juguetes,accesorios,16990.0,11290.0,36.0,2.0,0.001,500.0
1231,brit care cat grain-free kitten healthy g&d 7 kg,cachorros,alimento,55990.0,40062.0,168.0,1.0,0.015,5250.0
1324,eukanuba puppy medium breed 15 kg,cachorros,alimento,78280.0,51111.0,236.0,2.0,0.015,2900.0
367,bowl de plástico,comederos,accesorios,3990.0,2802.0,9.0,0.0,0.001,500.0
1802,zeecat phantom collar,paseo,accesorios,4990.0,3531.0,11.0,,,500.0
210,zd bordeau cat collar,paseo,accesorios,4900.0,3379.0,10.0,1.0,0.001,500.0
69,big heart aluminum red (my family),placas identificacion,accesorios,7130.0,5108.0,15.0,1.0,0.001,500.0
162,pawise bozal tela m,paseo,accesorios,5490.0,3595.0,12.0,0.0,0.001,500.0
583,pawise mat de enfriamiento l 90x50 cm,enriquecimiento ambiental,accesorios,29990.0,21141.0,63.0,0.0,0.001,750.0
962,zd smash cat collar,paseo,accesorios,4900.0,3198.0,10.0,1.0,0.001,500.0
1000,afp litte buddy comforting gator,juguetes,accesorios,14590.0,11347.0,30.0,3.0,0.001,500.0
693,royal canin medium adulto pouch 140 gr,humedo,alimento,1940.0,1543.0,6.0,6.0,0.015,1600.0
485,royal can. hepatic canine 10 kg.,medicados,alimento,91930.0,61209.0,277.0,0.0,0.015,500.0
1353,brit care cat sterilized fillets healthy rabbit 85 g,humedo,alimento,2200.0,1520.0,8.0,5.0,0.015,550.0
519,zeus nosh hueso duro sabor carne/queso m,juguetes,accesorios,8990.0,6485.0,19.0,0.0,0.001,500.0
1571,frontline 100 ml,ant. ext.,medicamentos,13990.0,10484.0,26.0,3.0,0.0002,500.0
1023,daily stuff cama nido estilo garra,camas,accesorios,29990.0,22187.0,74.0,3.0,0.004,500.0
1809,desparasitante bravecto para gatos,antiparasitarios,medicamentos,29990.0,20731.0,56.0,,,500.0
1595,zeus collar ajustable  s  coral,paseo,accesorios,4190.0,2967.0,9.0,0.0,0.001,500.0
1417,brit care cat kitten (crazy) 2 kg,cachorros,alimento,15900.0,12149.0,49.0,2.0,0.015,1050.0
701,big heart aluminum pink (my family),placas identificacion,accesorios,7130.0,5323.0,15.0,0.0,0.001,500.0
220,l.w. bebedero hermetico 100 ml,bebederos,accesorios,5290.0,4154.0,11.0,5.0,0.001,500.0
76,coastal sublime collar pink l,paseo,accesorios,16990.0,11692.0,42.0,0.0,0.004,500.0
99,pawise meow life varita,juguetes,accesorios,4790.0,3518.0,11.0,4.0,0.004,1200.0
420,catit filtro fuente triple accion 2 un,juguetes,accesorios,9390.0,6285.0,20.0,0.0,0.001,500.0
413,pro plan active mind 7+ med lrg 3kg ar,adultos,alimento,30830.0,22107.0,93.0,3.0,0.015,3500.0
618,feliway friends repuesto,comportamiento,medicamentos,31630.0,24349.0,59.0,1.0,0.0002,650.0
527,zd artsy leash large,paseo,accesorios,16900.0,11131.0,36.0,0.0,0.001,500.0
849,dispensador alimento maya l / (1500),comederos,accesorios,10230.0,6781.0,21.0,1.0,0.001,500.0
1857,transportadora rígida para perro chico,hogar-transporte,accesorios,44990.0,35112.0,136.0,,,500.0
306,royal can early cardiac canine 2.0 kg.,medicados,alimento,26130.0,20105.0,78.0,1.0,0.015,3250.0
1055,red big circle paw (my family),placas identificacion,accesorios,12300.0,8639.0,26.0,0.0,0.001,500.0
862,zd midnight leash extra small,paseo,accesorios,10900.0,8395.0,26.0,1.0,0.004,500.0
30,casa igloo medium,hogar-transporte,accesorios,5790.0,4590.0,12.0,2.0,0.001,500.0
331,pro plan kitten 1kg ar,cachorros,alimento,13440.0,9964.0,41.0,6.0,0.015,1100.0
1557,brit care cat kitten tuna fillets 70grs,humedo,alimento,1900.0,1364.0,6.0,0.0,0.015,1900.0
1182,comedero interactivo gato planta blanco y verde,juguetes,accesorios,18180.0,13855.0,45.0,0.0,0.004,1400.0
1517,timothy bungalow m,enriquecimiento ambiental,accesorios,37900.0,24774.0,79.0,0.0,0.001,950.0
552,clever pet bowl acero inox colores,comederos,accesorios,6980.0,4614.0,14.0,0.0,0.001,500.0
1113,exo t.ampolleta heat glo infrarroja 75w,enriquecimiento ambiental,accesorios,13490.0,9134.0,28.0,0.0,0.001,500.0
427,zeus collar ajustable  xl  coral,paseo,accesorios,7790.0,5450.0,17.0,0.0,0.001,500.0
1582,salvaje adulto con pollo 15 kg,adultos,alimento,31990.0,25189.0,96.0,205.0,0.015,4950.0
1453,dogit cable enganche 4.5m mas estaca,paseo,accesorios,20990.0,14215.0,51.0,0.0,0.004,500.0
1470,afp doggies pantufla mono,juguetes,accesorios,11690.0,8959.0,25.0,1.0,0.001,500.0
351,white persian  (my family),placas identificacion,accesorios,17560.0,13209.0,43.0,1.0,0.004,1050.0
1476,bravery chicken adult cat 7 kg,adultos,alimento,44990.0,32439.0,136.0,0.0,0.015,4850.0
44,pichichi 20 ml. (edu. sanit/perros),higiene,medicamentos,3190.0,2408.0,6.0,1.0,0.0002,500.0
1258,light blue big circle bone (my family),placas identificacion,accesorios,15490.0,11180.0,38.0,2.0,0.004,950.0
733,zd pacco collar small,paseo,accesorios,9900.0,7625.0,25.0,0.0,0.004,1050.0
1796,dingo dental stick huesitos ,snack,alimento,11990.0,7928.0,25.0,,,500.0
1029,brit care senior l&r 12 kg,senior,alimento,53990.0,39919.0,164.0,1.0,0.015,2200.0
1820,simparica antiparasitario 80 mg,antiparasitarios,medicamentos,15990.0,12730.0,30.0,,,500.0
361,zeedog neopro green leash large,paseo,accesorios,19400.0,15227.0,41.0,1.0,0.001,700.0
557,coastal embellished collar flower pink,paseo,accesorios,9590.0,7198.0,20.0,2.0,0.001,500.0
415,bravery salmon mini puppy small breed 2 kg,cachorros,alimento,18990.0,13879.0,57.0,7.0,0.015,1400.0
771,zd fatboy ruff leash large,paseo,accesorios,23900.0,18148.0,50.0,0.0,0.001,500.0
1732,mother and babycat 1.5 kg,cachorros,alimento,20330.0,13953.0,62.0,2.0,0.015,3400.0
185,pro plan feline veterinary diets nf early,adultos,alimento,26090.0,18383.0,78.0,0.0,0.015,500.0
1507,bichon frise (my family),placas identificacion,accesorios,17560.0,12413.0,43.0,0.0,0.004,1100.0
1449,plato antideslizante luna / l,comederos,accesorios,6330.0,4183.0,15.0,3.0,0.004,500.0
497,ampolleta repti glo 5.0 tropical13 w,enriquecimiento ambiental,accesorios,26990.0,19642.0,57.0,0.0,0.001,650.0
679,vestido playero t-2,ropa,accesorios,5550.0,4326.0,12.0,1.0,0.001,500.0
1779,eukanuba premium performance 18 kg ,adultos,alimento,97320.0,72348.0,293.0,0.0,0.015,2050.0
1274,zeedog roy,juguetes,accesorios,10900.0,8068.0,22.0,1.0,0.001,500.0
855,ultimate blue collar extra small,paseo,accesorios,7900.0,5978.0,19.0,1.0,0.004,500.0
1467,zeedog honey adjustable air mesh harness small,paseo,accesorios,19300.0,14805.0,41.0,1.0,0.001,500.0
1823,siguimarina,suplementos,medicamentos,20990.0,16231.0,39.0,,,500.0
1510,bravery salmon adult cat 7 kg,adultos,alimento,47990.0,37657.0,145.0,1.0,0.015,1050.0
123,coastal glow in the dark collar fish,paseo,accesorios,10490.0,7887.0,22.0,0.0,0.001,500.0
1604,pala sanitaria (granulos) celeste,higiene,accesorios,4190.0,3287.0,9.0,0.0,0.001,500.0
889,renal chicken cat pouch 85 gr,humedo,alimento,1900.0,1308.0,6.0,8.0,0.015,550.0
494,pro plan puppy large breed 15kg ar,cachorros,alimento,81230.0,58328.0,246.0,3.0,0.015,5150.0
